label,year,month,day,hour,b1_ref,b1_var,b2_ref,b2_var,b3_ref,b3_var,b4_ref,b4_var,b5_ref,b5_var,b6_ref,b6_var,b7_ref,b7_var,ID,Crop Truth
1,2011,5,7,17,5.0045385609,0.0409993427,2.7151178967,0.017942469,3.2839112546,0.0578635474,6.6564869004,0.1835946555,7.3664130996,0.0869750392,9.3996271218,0.1346425922,3.2848854244,0.0948134193,1_2011,5
1,2009,8,5,17,3.7965680812,0.03629482,1.8459149447,0.0158587469,1.545748893,0.0791689254,7.6154352399,0.6959239961,4.666745203,0.1097811527,8.7729924354,0.1047001264,1.4581953875,0.0776914555,1_2009,5
1,2010,5,20,17,4.4396418819,0.0612484318,2.2852654982,0.0254976892,2.4766898524,0.0896551676,5.6410367159,0.2277920469,5.8067673432,0.1747774343,9.0257894834,0.1332901984,2.6710367159,0.1764523274,1_2010,5
1,2010,6,5,17,3.833951845,0.0857720101,1.8664942804,0.036683201,1.5177415129,0.1329045903,9.2956345019,0.6878025748,5.5203614391,0.1174784866,8.8592064576,0.1457049259,1.7310846864,0.1362856046,1_2010,5
1,2010,5,4,17,5.0464278598,0.0354233353,2.7425164207,0.0139221653,3.4227304428,0.0633907996,4.8540293358,0.1080224061,7.4473909594,0.0697683766,10.0293060886,0.0136831343,4.3226197417,0.110899735,1_2010,5
1,2010,6,21,17,4.3799739852,0.2061019653,2.3541880074,0.1399605291,2.3311732472,0.3578946208,8.8002691882,2.8085568308,6.7318632841,0.295784224,10.0726566421,0.1994312045,2.9820404059,0.5165320167,1_2010,5
1,2009,5,17,17,5.2457673432,0.0158999694,2.7904942804,0.0052749943,3.8029001845,0.0212086387,3.9095717712,0.0225475092,5.9637304428,0.0325572313,11.5652064576,0.0658181363,3.9546271218,0.019349238,1_2009,5
1,2011,6,24,17,5.2590404059,0.030046382,3.0101695572,0.0071003494,3.4988374539,0.0450462779,7.3560625461,0.2209418794,8.8800293358,0.0449327382,11.3880293358,0.0363332548,4.2639260148,0.0486309579,1_2011,5
1,2011,6,8,17,3.776354059,0.1662300277,1.84445369,0.0783967454,1.6016418819,0.2763801809,9.6558337638,0.7986999966,5.4950330258,0.1901626121,9.0615902214,0.3566404047,1.7007636531,0.2956320271,1_2011,5
1,2010,9,25,17,3.6514167897,0.0663130284,1.8871953875,0.0387004333,2.1057747233,0.1314599204,5.0488632841,0.2256743237,5.92245,0.0788419926,9.0024094096,0.0483866035,2.40545369,0.0332012361,1_2010,5
1,2009,8,21,17,3.3844942804,0.0462310386,1.5962839483,0.0221838765,1.2471658672,0.1167577754,9.2978263838,1.5860024082,4.8859333948,0.0730615929,8.6658337638,0.1252881147,1.3591953875,0.0716195772,1_2009,5
2,2011,5,7,17,5.5595215835,0.0125412118,3.0855953362,0.003891686,4.2788925163,0.0053538866,4.256987961,0.005184665,6.7045714751,0.0299408616,11.3506278742,0.0267908317,4.4680161605,0.014460532,2_2011,1
2,2009,8,5,17,3.830493384,0.0148489873,2.0809922994,0.0090033415,1.8450530369,0.0209714628,7.4693697397,0.1218497745,3.7659250542,0.0389034555,8.7236560738,0.1104943024,1.2078165944,0.0235019155,2_2009,1
2,2010,5,20,17,5.5709749458,0.1957761496,3.0676994577,0.1080146818,3.9553350325,0.2878402232,4.7523458785,0.2242546876,6.2283979393,0.8490588259,10.0280508677,0.1699068949,3.8853263558,0.5222443513,2_2010,1
2,2010,6,5,17,4.1446018438,0.0295676559,2.0555085683,0.0158508708,1.8603719089,0.0493262412,7.1843241866,0.6177813204,5.0653090022,0.0715472708,9.2844413232,0.1369569804,1.8477732104,0.0525860929,2_2010,1
2,2008,5,30,17,5.8272439263,0.0719422851,3.2632656182,0.0353681677,4.5355909978,0.0738717307,4.5988708243,0.0685776537,7.1933437093,0.1853690234,10.5417341649,0.346655826,4.7307276573,0.1000135108,2_2008,1
2,2010,5,4,17,5.3865758135,0.6768566176,2.9680552061,0.3635722433,4.0230530369,0.8770341266,3.9501810195,0.9064795806,5.7878729935,2.7491490554,9.5488708243,0.6996590593,3.8811745119,1.5805442473,2_2010,1
2,2010,6,21,17,3.6647059653,0.0211092013,1.7551441432,0.0103923685,1.3375259219,0.029771927,10.2180335141,0.2220492322,4.9331658351,0.149057839,9.176779718,0.2740052535,1.4632265727,0.0446689588,2_2010,1
2,2008,8,2,17,3.6860378525,0.0260689755,1.7985237527,0.012955821,1.3781853579,0.038797405,10.1289836226,0.3362691556,5.3101246204,0.086217239,9.0175779827,0.2045052439,1.4689532538,0.067532276,2_2008,1
2,2009,5,17,17,5.6928100868,0.0202119745,3.1213870933,0.0095209266,4.0983588937,0.0179767986,4.9126929501,0.0323032815,6.7589749458,0.0561762711,10.4870443601,0.0595299981,4.1291398048,0.027019125,2_2009,1
2,2011,6,24,17,5.2784847072,0.3849039988,2.8831571584,0.22482868,3.9325714751,0.5237468486,4.2325063991,0.5947607517,6.1719901302,1.8125010987,10.1852482646,0.7533677619,3.9659293926,1.0491029828,2_2011,1
2,2011,6,8,17,5.8122113883,0.0166858693,3.2907536876,0.0071123069,4.5861289588,0.0087290943,4.703812256,0.0059780141,7.3698686551,0.0206912716,12.755812256,0.0378590206,4.9139814534,0.0110827826,2_2011,1
2,2010,9,25,17,4.4078860087,0.0129522546,2.3342547722,0.005358027,3.206141974,0.0114026557,3.2134434924,0.0099029869,5.1337428417,0.0305567494,10.2616994577,0.0053604866,3.3733610629,0.012456888,2_2010,1
2,2009,8,21,17,5.1126972885,0.0240444247,2.9604673536,0.0093469498,4.2549836226,0.032312956,5.5318903471,0.0203424981,8.2145541215,0.0502603623,10.1498860087,0.03409917,3.9935606291,0.0178070442,2_2009,1
3,2011,5,7,17,5.8214939771,0.0152109407,3.2917884321,0.0074754094,4.5167635755,0.0151374619,4.4797884321,0.0162040671,7.0464691205,0.0242162826,11.4510542065,0.0251327133,4.7369739006,0.0163848498,3_2011,2
3,2009,8,5,17,3.6898075526,0.0161622794,1.7800981836,0.0056020024,1.6371192161,0.0183100455,5.7527176864,0.0421945746,3.9020675908,0.0503747371,8.9531498088,0.0876915867,1.3775360421,0.0296681742,3_2009,2
3,2010,5,20,17,6.1099758126,0.0195214425,3.4572301147,0.0077563933,4.7972951243,0.0212203412,4.8139528681,0.0197986362,7.3233410134,0.0732222501,10.7521861377,0.0213757392,5.0527138623,0.0321699571,3_2010,2
3,2010,6,5,17,5.0625570746,0.2207531664,2.7068744742,0.1224614259,3.3452951243,0.2758006395,4.6408132887,0.6582915162,5.5134519121,1.023274499,10.0736354685,0.224333371,3.1053983748,0.458998397,3_2010,2
3,2008,5,30,17,6.1108591778,0.0878275878,3.506950956,0.0480882309,4.8043620459,0.1081684129,5.2466756214,0.1147812187,7.9708477055,0.3062385416,10.221157457,0.1325281496,5.0211651052,0.1433236416,3_2008,2
3,2010,5,4,17,5.5340217017,0.0214145011,3.075616348,0.0086006511,4.3026106119,0.0192212209,4.3991498088,0.0210606116,7.1166335564,0.0482109185,11.0057119503,0.0110591494,4.9212186425,0.0288833174,3_2010,2
3,2010,6,21,17,4.1737654876,0.045131975,2.2982549713,0.0146084591,2.3255130975,0.0605404836,6.261409847,0.8882855261,5.2438993308,0.2549940983,9.9502167304,0.1688397697,2.1365991396,0.1092473124,3_2010,2
3,2008,8,2,17,3.418614436,0.0431678582,1.5017119503,0.0219033406,1.2181517208,0.0623732495,7.3907291587,0.4507850464,3.084576195,0.1236754028,8.7896010516,0.1701003118,0.9564232314,0.077676397,3_2008,2
3,2009,5,17,17,6.028201434,0.0265131084,3.4006947419,0.0130953435,4.7282664436,0.0312533353,4.8654404398,0.0259350879,7.6200255258,0.0718885158,10.4613065966,0.0296713274,5.015864914,0.0375097992,3_2009,2
3,2011,6,24,17,4.6016928298,0.0714611475,2.618033174,0.0203612412,2.6348171128,0.0995436511,7.5597043021,0.2627383885,6.3862167304,0.0776552802,10.4182740918,0.0990190436,2.5814366157,0.1155800897,3_2011,2
3,2011,6,8,17,5.0178840344,0.3001446739,2.750159369,0.1570474566,3.3686412046,0.4198338755,4.8422205545,0.4362122915,5.9816354685,1.175240675,10.4276125239,0.5795948244,3.2652874761,0.6873870845,3_2011,2
3,2010,9,25,17,5.9264882409,0.0549875626,3.6692377629,0.0298074559,5.4801364245,0.077803894,6.3293027725,0.0604664315,9.8905264818,0.1849356729,9.4849356597,0.0136070834,4.4041976099,0.0269021925,3_2010,2
